Word;Database;Concr.M;Concr.ET;Imag.M;Imag.ET;FreqSub.Moy;FreqSub.ET;ValEmo.Moy;ValEmo.ET
Bec;B;4.68;0.78;4.04;1.21;2.68;0.90;2.36;0.70
Bêche;-;4.77;0.75;3.76;1.33;1.88;0.78;2.36;0.86
Béquilles;B;4.82;0.39;4.16;1.28;2.40;0.65;1.76;0.66
Berceau;-;4.68;0.78;4.60;0.91;2.60;0.76;4.00;1.08
Béret;B;4.91;0.43;4.44;1.04;2.24;0.72;2.76;0.93
Beurre;-;4.91;0.43;4.48;1.00;4.36;0.76;3.24;1.01
Biberon;B;4.86;0.47;4.84;0.62;3.12;1.01;4.04;0.84
Bibliothèque;B;4.14;1.17;4.28;0.94;4.04;0.84;4.32;0.75
Biche;B;4.77;0.69;4.12;1.33;2.28;0.79;3.88;0.83
Bille;-;4.86;0.47;4.52;0.87;2.80;1.12;3.36;0.95
Billet;-;4.50;1.10;4.68;0.75;4.28;0.68;3.72;0.94
Binette;AF;3.95;1.33;1.92;1.35;1.44;0.71;2.48;0.87
Biscotte;-;4.82;0.50;4.52;0.92;3.52;1.16;3.36;0.95
Biscuit;B;4.82;0.50;4.56;0.71;3.76;1.01;4.20;0.65
Bison;AF;4.77;0.69;3.56;1.26;1.64;0.49;2.72;1.10
Blatte;AF;4.41;1.14;2.83;1.49;1.56;0.71;1.24;0.52
Blé;B;4.77;0.61;4.52;0.77;3.32;0.90;3.76;0.97
Bobine de fil;AF;4.77;0.53;4.08;1.22;2.08;0.81;2.76;0.93
Bocal;AF;4.77;0.69;4.24;1.09;3.04;1.14;2.92;0.76
Bocal à poisson;-;4.77;0.53;4.44;0.82;2.04;0.61;2.88;0.97
Boîte;AF;4.45;1.06;3.56;1.53;4.04;0.89;3.24;0.78
Boite de conserve;AF;4.82;0.66;4.52;0.77;4.08;0.95;2.52;0.65
Bol;AF;4.82;0.50;4.58;0.83;3.96;0.84;3.08;0.81
Bombe;B;4.19;1.17;2.71;1.43;3.16;0.94;1.12;0.33
Bonbon;B;4.91;0.29;4.80;0.50;4.08;0.91;4.04;1.14
Bonhomme de neige;AF;4.68;0.65;4.88;0.33;2.60;0.76;4.36;0.49
Bonnet;B;4.86;0.35;4.44;0.96;3.12;0.67;2.92;0.86
Boomerang;B;4.73;0.63;4.32;1.07;1.96;0.93;3.56;0.92
Borne;B;4.55;0.86;3.60;1.66;2.68;0.80;2.60;0.87
Bosse;B;4.14;1.17;3.48;1.50;3.24;0.93;1.92;0.76
Botte;AF;4.73;0.70;4.40;0.82;2.92;1.00;2.76;1.01
Bouc;-;4.77;0.69;3.64;1.32;1.96;0.73;2.40;1.00
Bouche;AF;4.50;1.06;4.56;0.92;4.44;0.65;4.00;0.76
Bouchon;-;4.73;0.70;4.42;1.02;4.04;0.93;3.04;0.89
Boucle;-;4.05;1.25;2.92;1.66;3.36;1.04;3.36;1.04
Bouclier;B;4.68;0.89;3.88;1.27;1.80;0.65;2.20;0.96
Bouée;B;4.68;0.89;4.32;1.03;2.56;0.96;3.20;0.96
Bougie;AF;4.91;0.29;4.80;0.58;3.68;0.95;4.56;0.77
Bouilloire;AF;4.77;0.53;4.00;1.35;2.44;1.04;3.24;0.97
Boule (billard);B;4.86;0.64;4.44;0.96;2.32;1.03;3.44;1.04
Boulet;B;4.55;0.86;3.88;1.30;2.24;0.83;1.48;0.51
Bourreau;B;3.73;1.61;2.52;1.48;1.80;0.71;1.28;0.54
Boussole;AF;4.59;0.80;4.52;0.77;2.28;0.79;3.12;0.97
Bouteille;AF;4.77;0.53;4.88;0.44;4.60;0.58;3.56;0.82
Bouton;AF;4.68;0.57;4.36;1.04;4.00;0.82;2.12;1.01
Branche;B;4.77;0.53;4.12;1.24;3.36;0.86;3.24;0.88
Bras;AF;4.73;0.63;4.76;0.72;4.44;0.92;3.40;0.71
Brique;B;4.73;0.70;4.28;1.02;2.36;0.76;2.60;0.96
Briquet;B;4.86;0.47;4.60;0.87;3.72;1.21;2.28;1.02
Broche;-;4.45;0.91;3.58;1.32;2.28;0.89;2.64;1.19
Brocoli;-;4.77;0.61;4.36;1.04;2.36;0.95;3.04;1.10
Brosse;AF;4.91;0.29;4.28;0.89;4.00;0.71;3.16;0.85
Brosse à dents;AF;4.82;0.59;4.76;0.72;4.52;0.59;3.44;1.08
Brouette;B;4.82;0.66;4.64;0.64;2.52;0.82;2.56;0.87
Bûches;AF;4.82;0.66;4.17;1.31;2.36;0.64;3.20;1.12
Buffle;-;4.77;0.69;3.08;1.41;1.64;0.57;2.64;1.11
Bulle;B;3.36;1.62;3.88;1.42;2.56;1.08;4.16;0.94
Bureau;AF;4.45;0.80;4.32;1.11;4.36;0.64;3.20;1.08
Burin;-;4.36;1.09;2.56;1.45;1.60;0.50;2.16;0.90
Bus;AF;4.77;0.69;4.56;0.65;4.36;0.76;2.28;0.98
Cabine;-;4.27;1.03;2.96;1.62;2.60;0.91;2.72;0.61
Cacahuète;AF;4.82;0.50;4.36;1.15;3.24;0.93;3.36;1.04
Cachalot;-;4.73;0.77;2.88;1.51;1.36;0.49;2.92;1.08
Cactus;AF;4.82;0.39;4.72;0.68;2.28;1.02;3.16;1.25
Caddie;AF;4.77;0.69;4.42;1.02;3.20;1.19;2.56;1.04
Cadeau;B;4.14;1.21;4.52;0.82;4.44;0.65;4.84;0.37
Cadenas;AF;4.77;0.87;4.40;1.12;2.64;0.95;2.68;0.85
Cadran;-;4.14;1.25;3.16;1.43;2.28;0.68;2.96;0.79
Cadre;B;4.45;0.86;4.12;1.20;3.68;1.03;3.28;0.74
Cafetière;B;4.73;0.88;4.76;0.60;3.72;1.06;3.28;1.31
Cage;AF;4.59;0.73;4.52;0.71;3.08;0.91;1.76;0.72
Cahier;B;4.86;0.35;4.72;0.61;4.12;0.78;3.68;0.99
Caisse;B;4.45;1.01;3.44;1.50;3.52;0.82;2.48;0.92
Calculatrice;B;4.82;0.66;4.72;0.61;3.88;0.83;2.92;1.19
Calendrier;B;4.36;1.09;4.32;1.28;3.84;0.90;3.28;0.94
Calmar;-;4.86;0.65;3.00;1.47;1.92;0.86;2.20;1.22
Calumet;-;4.23;1.02;2.76;1.45;1.52;0.51;2.84;1.07
Caméra;B;4.77;0.43;4.72;0.54;3.52;0.82;3.24;0.83
Camion;AF;4.82;0.66;4.80;0.50;4.08;0.81;2.32;0.85
Camping-car;B;4.73;0.88;4.68;0.69;2.60;0.76;3.60;1.04
Camping;-;3.64;1.43;3.92;1.38;3.32;0.95;3.76;1.20
Canapé;AF;4.68;0.95;4.64;0.70;4.28;0.84;4.12;0.83
Canard;AF;4.86;0.47;4.52;0.77;2.72;0.94;3.28;0.74
Cane;-;4.73;0.70;3.60;1.41;2.24;0.97;2.68;0.99
Canif;-;4.82;0.50;4.56;0.71;2.40;1.04;2.04;0.73
Canne;B;4.73;0.55;3.88;1.30;2.44;0.96;2.12;0.88
Canne à pêche;AF;4.82;0.66;4.48;1.08;2.00;0.91;2.52;1.05
Canoë;B;4.86;0.47;4.44;0.87;2.48;0.92;3.80;0.87
Canon;AF;4.59;0.91;4.08;1.04;2.24;0.72;1.64;0.57
Cape;-;4.77;0.53;4.04;1.14;2.08;0.70;3.28;0.89
Capot;-;4.77;0.69;3.72;1.43;2.92;1.08;2.52;0.77
Capsule;-;4.68;0.72;3.68;1.44;2.32;0.75;2.60;0.91
Capuche;B;4.77;0.53;4.36;1.04;2.68;0.95;3.04;1.10
Carabine;B;4.82;0.66;4.20;1.19;1.88;0.73;1.36;0.64
Carafe;-;4.73;0.70;4.24;1.09;3.36;1.04;3.24;0.88
Caravane;B;4.77;0.75;4.68;0.63;2.76;0.83;3.36;1.22
Cargo;-;4.36;1.09;2.80;1.35;1.72;0.74;2.24;0.72
Carillon;-;4.64;0.58;2.68;1.31;1.72;0.79;3.12;1.24
Carnet;B;4.68;0.65;4.20;1.19;3.52;0.82;3.44;0.71
Carotte;AF;4.86;0.47;4.92;0.28;3.36;0.86;3.28;0.89
Carpette;-;4.50;0.86;2.40;1.47;1.72;0.79;2.52;0.82
Carquois;-;4.05;1.28;2.08;1.26;1.36;0.49;2.88;1.08
Carrosse;B;4.18;1.14;3.96;1.40;1.96;0.93;3.80;0.96
Cartable;-;4.82;0.50;4.68;0.63;3.64;1.29;3.24;0.97
Carte;B;4.64;0.90;3.72;1.57;4.24;0.78;3.64;0.91
Carton;-;4.32;1.04;4.00;1.35;4.04;0.84;2.68;0.75
Cartouche;B;4.77;0.53;4.00;1.15;3.48;1.05;2.16;1.11
Casier;-;4.50;0.80;3.21;1.47;2.72;0.98;2.64;0.70
Casque;AF;4.77;0.69;4.20;1.08;3.36;0.86;2.88;1.27
Casquette;AF;4.82;0.66;4.72;0.74;3.28;0.98;2.84;0.94
Casserole;AF;4.82;0.66;4.76;0.52;4.24;0.72;2.68;0.69
Cassette;B;4.68;0.65;4.63;0.58;4.08;0.95;4.04;0.73
Castor;B;4.77;0.69;3.72;1.28;1.80;0.58;3.28;1.02
Catapulte;B;4.41;1.01;3.08;1.47;1.40;0.58;2.12;0.78
Ceinture;AF;4.82;0.50;4.36;1.04;3.68;0.80;2.84;0.75
Céleri;AF;4.64;0.73;3.08;1.66;2.20;0.91;2.44;1.19
Cendrier;AF;4.91;0.29;4.48;1.08;3.32;1.14;1.80;1.15
Cent;-;2.45;1.41;2.60;1.73;4.44;0.82;3.16;0.99
Centaure;-;2.76;1.45;2.08;1.44;1.36;0.49;2.79;0.88
Cerceau;-;4.77;0.53;4.08;1.26;2.36;0.95;3.20;0.91
Cercle;B;2.86;1.58;4.40;1.04;3.52;0.96;3.08;0.81
Cercueil;B;4.50;1.10;4.33;1.09;2.32;0.69;1.16;0.47
Cerf-volant;AF;4.86;0.47;4.76;0.52;2.64;0.86;4.21;0.83
Cerf;AF;4.82;0.66;4.20;1.00;2.12;0.73;3.44;0.92
Cerise;AF;4.82;0.50;4.88;0.45;3.08;0.81;4.12;0.78
Cerveau;AF;4.05;1.21;3.60;1.53;3.44;1.04;3.04;1.14
Chaîne;AF;4.23;1.15;3.84;1.34;3.64;1.04;2.92;1.12
Chaise;AF;4.91;0.43;4.72;0.61;4.60;0.50;3.12;0.67
Châle;-;4.68;0.72;3.96;1.24;1.88;0.73;2.88;0.97
Chameau;AF;4.73;0.70;4.64;0.95;1.92;0.76;2.88;1.05
Champ;-;4.05;1.17;4.16;1.25;3.32;0.90;3.72;0.74
Champignon;AF;4.86;0.35;4.68;0.63;3.44;0.87;3.04;1.43
Chandelier;B;4.82;0.50;4.28;1.02;1.92;0.70;3.72;1.02
Chapeau;AF;4.86;0.47;4.60;0.71;3.48;0.92;3.32;0.85
Chapiteau;B;4.64;0.79;4.44;0.96;2.40;1.00;3.36;0.86
Charrette;-;4.77;0.87;4.08;1.22;1.96;0.61;2.72;1.06
Charrue;B;4.82;0.66;3.67;1.34;1.76;0.66;2.40;0.96
Chat;AF;4.91;0.29;4.96;0.20;4.24;0.88;3.96;1.37
Châtaigne;B;4.82;0.50;4.32;0.99;2.40;0.71;3.36;1.15
Château;B;4.68;0.95;4.64;0.64;3.12;1.01;3.76;0.97
Chaussette;AF;4.86;0.47;4.60;0.82;4.44;0.71;3.36;0.95
Chausson;-;4.73;0.70;3.88;1.39;2.92;1.00;3.92;1.00
Chaussure;AF;4.82;0.50;4.52;0.77;4.56;0.65;3.48;0.82
Chauve-souris;AF;4.77;0.69;4.48;0.92;2.36;0.76;2.52;1.19
Cheminée;AF;4.68;0.72;4.48;0.87;3.48;0.87;3.96;0.84
Chemise;AF;4.82;0.66;4.36;0.95;4.20;0.87;3.28;0.94
Chemisier;-;4.77;0.61;4.28;0.94;3.36;0.99;3.04;1.10
Chêne;-;4.77;0.61;4.24;1.01;2.92;0.86;4.00;0.76
Chenille;AF;4.50;0.80;4.28;1.06;2.28;0.74;2.12;1.13
Cheval;AF;4.82;0.66;4.76;0.72;3.52;0.96;3.72;0.98
Chevalet;AF;4.55;0.91;3.80;1.29;1.92;0.70;3.80;0.87
Cheveux;AF;4.68;0.57;4.56;0.65;4.56;0.51;4.16;0.85
Chèvre;AF;4.82;0.66;4.80;0.50;2.72;0.68;3.32;1.03
Chewing-gum;-;4.77;0.53;4.36;1.19;4.04;1.10;3.68;1.18
Chien;AF;4.77;0.69;4.92;0.28;4.52;0.82;3.96;1.37
Chignon;B;4.41;1.01;4.60;0.82;2.60;1.00;2.96;0.98
Chœur;-;3.73;1.32;3.00;1.53;2.24;0.72;3.96;0.93
Chope;B;4.55;0.91;3.64;1.29;2.16;0.94;3.16;1.14
Chou;-;4.77;0.61;4.24;1.13;2.84;0.85;2.72;1.21
Chronomètre;B;4.73;0.55;4.44;0.96;2.92;0.86;2.36;1.11
Cible;B;4.45;0.91;4.40;0.91;2.52;0.77;2.56;1.23
Cicatrice;B;4.41;1.10;4.52;0.82;3.00;0.91;1.32;0.48
Cigale;-;4.73;0.55;3.76;1.48;2.24;0.78;3.76;1.01
Cigare;AF;4.91;0.29;4.44;0.96;2.44;0.87;1.52;0.82
Cigarette;AF;4.95;0.21;4.71;0.69;4.16;1.14;1.80;1.22
Cigogne;-;4.73;0.77;4.52;0.87;2.00;0.65;3.52;0.96
Cimetière;-;3.86;1.13;4.36;1.08;2.88;0.93;1.52;0.77
Cintre;AF;4.82;0.66;4.44;0.92;3.56;0.92;2.80;0.82
Circuit;B;3.86;1.42;3.28;1.57;2.80;0.71;2.72;1.06
Cirque;-;4.18;1.18;4.56;0.71;2.76;0.66;3.76;1.13
Ciseau;AF;4.73;0.77;4.56;0.96;3.88;0.88;2.60;0.76
Citerne;-;4.64;0.73;3.60;1.38;2.04;0.54;2.12;0.88
Citron;AF;4.91;0.43;4.68;0.80;3.20;0.91;3.32;0.99
Citrouille;AF;4.86;0.47;4.56;0.71;2.08;0.76;2.96;1.14
Civière;-;4.68;0.72;4.12;1.27;2.00;0.65;1.36;0.57
Classeur;B;4.77;0.69;4.52;0.96;4.28;0.79;3.16;1.03
Clavier;B;4.55;0.96;4.04;1.21;3.08;1.14;3.44;0.92
Clef;AF;4.82;0.50;4.52;1.00;4.44;0.71;3.64;0.91
Cloche;AF;4.73;0.77;4.52;0.92;2.52;0.92;3.04;1.02
Clou;AF;4.91;0.43;4.54;0.83;2.76;1.01;2.12;0.88
Clown;AF;4.00;1.11;4.80;0.58;3.04;0.84;3.88;1.13
Coccinelle;AF;4.82;0.66;4.72;0.61;2.40;0.76;4.20;1.00
Cochon;AF;4.82;0.66;4.76;0.52;3.08;1.00;2.72;1.06
Cocotte-minute;B;4.82;0.66;4.40;1.00;3.00;1.22;2.60;0.82
Cœur;AF;3.91;1.31;4.76;0.52;4.24;0.93;4.56;0.65
Coffre-fort;AF;4.68;0.72;4.20;1.00;2.16;0.80;3.60;1.08
Coffre;B;4.73;0.55;4.08;1.08;2.80;0.82;3.68;0.95
Coing;-;4.45;0.91;3.04;1.65;1.84;0.90;3.32;1.03
Col;-;4.64;0.85;4.24;1.20;3.20;1.04;2.64;0.86
Collants;-;4.77;0.53;4.28;1.34;3.28;0.98;2.64;1.19
Colle;-;4.59;0.85;4.00;1.29;4.04;0.73;2.52;0.71
Collier;AF;4.95;0.21;4.36;0.91;3.80;0.82;4.00;0.96
Colombe;B;4.64;0.90;4.36;0.95;2.20;0.82;4.28;0.79
Colonne;B;3.86;1.32;3.20;1.53;3.00;0.82;2.76;0.93
Commode;AF;4.77;0.69;3.96;1.24;3.12;1.09;3.20;0.96
Compas;-;4.82;0.50;4.52;0.96;2.76;1.13;2.40;0.76
Concombre;-;4.86;0.47;4.36;0.86;2.92;1.26;2.96;1.37
Coq;AF;4.82;0.66;4.76;0.72;2.60;0.91;2.52;0.92
Coque;-;4.14;1.21;2.56;1.47;2.08;0.70;2.76;0.83
Coquillage;B;4.91;0.29;4.44;0.96;2.76;0.72;3.96;0.98
Cor;AF;4.45;0.91;2.80;1.58;1.64;0.64;2.32;1.18
Corde;AF;4.64;0.79;4.36;0.95;3.04;0.98;2.36;0.91
Corne;B;4.55;0.86;3.44;1.53;2.36;0.95;2.44;1.04
Cornemuse;-;4.64;0.79;3.56;1.19;1.52;0.51;2.92;1.12
Cornet;-;4.41;1.01;3.16;1.55;2.28;0.89;3.32;0.95
Corps;-;4.14;1.28;4.24;1.09;4.32;0.85;3.68;0.85
Cou;B;4.50;0.96;4.48;0.96;3.76;0.93;3.32;0.80
Couffin;B;4.82;0.66;3.84;1.31;2.08;0.81;4.08;1.00
Coupe;B;3.73;1.42;3.12;1.54;3.00;0.71;3.04;0.93
Couronne;AF;4.36;0.95;4.36;1.11;2.28;0.68;3.60;1.04
Couteau;AF;4.77;0.75;4.72;0.74;4.28;0.79;2.28;0.79
Couteau suisse;B;4.86;0.47;4.36;1.15;2.48;1.00;3.00;1.15
Crabe;AF;4.82;0.66;4.83;0.38;2.12;0.73;2.48;1.12
Craie;-;4.91;0.29;4.52;0.92;3.40;1.04;3.36;1.19
Crâne;AF;4.59;0.80;4.52;0.82;3.12;0.73;2.16;0.90
Cravate;AF;4.82;0.50;4.68;0.63;3.08;1.29;2.52;0.96
Crayon;AF;4.91;0.29;4.68;0.69;4.64;0.57;3.64;0.86
Crèche (Noël);B;4.45;1.01;4.32;1.22;2.32;0.75;3.88;1.01
Crêpe;B;4.73;0.55;4.76;0.52;3.48;1.05;4.20;0.71
Crête;B;4.18;1.22;3.08;1.32;2.08;0.70;2.72;1.02
Crevette;B;4.86;0.35;4.72;0.89;2.60;1.04;3.16;0.94
Crochet;B;4.41;0.80;3.44;1.47;2.04;0.79;2.48;0.87
Crocodile;AF;4.82;0.66;4.58;0.97;2.28;0.84;2.12;1.17
Croissant;AF;4.68;0.57;4.88;0.60;4.00;0.87;4.24;0.78
Croix;B;4.09;1.23;4.44;1.00;3.52;0.92;2.44;1.00
Cruche;AF;4.55;0.96;3.76;1.33;2.12;0.93;2.48;0.92
Cube;B;4.32;1.21;4.56;0.77;3.00;0.96;3.00;0.87
Cuillère;AF;4.91;0.29;4.76;0.60;4.28;0.84;3.16;0.69
Cuisine;B;4.09;1.19;4.20;1.19;4.72;0.46;3.84;0.75
Cuisinière;AF;4.36;1.33;3.96;1.14;3.52;1.00;3.36;0.95
Cycliste;-;4.32;1.21;4.60;0.65;2.96;0.89;3.08;1.08
Cygne;AF;4.77;0.69;4.76;0.52;2.08;0.64;3.64;1.15
Cymbales;AF;4.86;0.35;3.32;1.63;1.64;0.70;3.24;0.93
Danseuse;B;4.41;1.14;4.44;0.87;3.12;0.83;3.52;1.08
Dauphin;AF;4.68;0.72;4.80;0.65;2.52;0.77;4.56;0.58
Dé à coudre;AF;4.86;0.47;4.48;1.12;1.88;0.78;2.52;1.12
Décoration;-;2.77;1.34;2.76;1.45;3.52;0.92;4.32;0.63
Dent;B;4.82;0.59;4.80;0.50;4.24;0.72;2.76;0.88
Diable;B;2.55;1.63;4.00;1.19;2.52;0.92;1.92;0.86
Diamant;B;4.64;0.66;4.44;1.16;2.84;1.14;3.96;1.21
Dictaphone;-;4.50;1.10;2.92;1.26;1.76;0.66;2.64;0.91
Dièse;B;2.55;1.30;2.72;1.59;1.96;0.84;3.08;1.04
Diligence;B;4.09;1.31;3.44;1.53;1.56;0.51;3.08;0.95
Dindon;AF;4.82;0.50;3.84;1.18;2.08;0.81;2.28;1.02
Dinosaure;AF;3.64;1.62;4.32;1.03;1.88;0.67;2.88;1.09
Disque;B;4.77;0.53;4.68;0.69;4.08;0.81;4.36;0.70
Doigt;AF;4.86;0.47;4.84;0.47;4.44;0.65;3.56;0.92
Domino;B;4.59;0.96;4.36;1.15;1.92;0.70;3.20;1.04
Douche;AF;4.23;0.97;4.48;0.77;4.60;0.76;4.16;0.99
Dragon;B;2.86;1.67;4.00;1.04;1.96;0.73;2.96;1.02
Drap;B;4.82;0.39;3.96;1.21;4.08;0.81;3.96;0.68
Drapeau;AF;4.64;0.90;4.64;0.76;2.92;1.00;2.80;0.96
Druide;B;3.36;1.50;2.60;1.50;1.72;0.61;3.40;0.87
Echarpe;-;4.91;0.29;4.52;0.82;3.40;1.04;3.72;1.10
Echelle;AF;4.45;1.01;4.68;0.63;3.16;1.07;2.84;0.99
Eclair;B;3.55;1.41;4.36;0.91;3.52;0.82;3.32;1.38
Ecouteurs;AF;4.14;1.28;3.60;1.26;2.64;0.91;3.12;1.01
Ecran;B;4.36;1.09;4.04;1.06;4.04;1.02;3.64;0.86
Ecrou;AF;4.64;0.95;3.24;1.51;1.96;0.73;2.33;0.82
Ecureuil;AF;4.86;0.47;4.72;0.61;2.32;0.85;4.20;0.96
Eglise;AF;4.27;1.20;4.48;0.96;3.28;1.10;2.88;1.24
Elan;AF;4.18;1.30;2.96;1.46;2.40;1.00;3.32;1.03
Eléphant;AF;4.77;0.69;4.88;0.33;2.36;0.86;3.44;1.08
Empreinte;B;3.64;1.43;3.80;1.08;3.16;0.99;3.28;0.79
Enclume;AF;4.86;0.35;3.72;1.49;1.44;0.51;2.44;0.92
Encre;-;4.50;0.74;3.48;1.39;3.56;0.82;3.28;0.74
Encrier;-;4.77;0.61;4.00;1.29;1.80;0.76;3.24;1.01
Enfant;-;4.00;1.35;4.52;0.96;4.72;0.68;4.36;0.95
Entonnoir;AF;4.82;0.66;4.36;1.08;2.28;0.79;2.52;0.71
Enveloppe;AF;4.82;0.50;4.76;0.66;4.28;0.79;3.60;1.00
Epée;B;4.95;0.21;4.68;0.69;2.16;0.80;2.32;1.03
Eprouvette;B;4.77;0.69;3.42;1.44;1.96;0.89;2.48;1.00
Equerre;B;4.73;0.77;4.24;1.01;3.00;0.91;2.52;0.82
Escabeau;B;4.86;0.64;4.28;1.14;2.60;0.87;2.28;0.68
Escalier;B;4.82;0.39;4.88;0.33;4.52;0.65;2.96;0.98
Escargot;AF;4.82;0.66;4.76;0.60;2.52;0.87;2.60;1.04
Espadon;AF;4.14;1.06;2.64;1.47;1.48;0.51;2.32;1.03
Esquimau (glace);B;4.36;1.22;4.40;1.04;2.52;0.96;4.04;1.10
