Word;Subjective Frequency;AoA;Imageability
lard;3.535714286;9.033333333;5.333333333
large;4.892857143;6.854282536;3.833333333
larme;4.392857143;5.993325918;6.3
larve;2.892857143;9.028921023;5.166666667
las;3.214285714;11.24249166;2.142857143
latte;2.964285714;10.0702381;4.933333333
lave;4.214285714;7.245828699;5.033333333
le;6.928571429;4.072302558;1.533333333
lent;4.928571429;6.352614016;3.833333333
lente;4.785714286;6.740823137;3.586206897
lèpre;2.464285714;11.35150167;3.206896552
les;6.678571429;4.601779755;1.3
lettre;4.964285714;5.456062291;6.2
leur;6.607142857;6.13570634;1.333333333
leurre;3.25;12.38375973;2.517241379
lèvre;4.821428571;5.106785317;6.655172414
liane;2.714285714;8.032258065;5.733333333
liasse;3.214285714;10.13793103;5.103448276
libre;4.75;7.783092325;3.233333333
lie;3;10.31043956;2.692307692
lié;4.571428571;8.745272525;2.8
liège;3.285714286;9.001112347;5.333333333
lien;4.928571429;8.03192848;3.766666667
liesse;2.678571429;12.15833333;3.04
lieu;5.214285714;7.286904762;3.166666667
lièvre;3.071428571;6.527252503;6.733333333
light;4.428571429;12.13793103;3.033333333
ligne;4.964285714;5.963292547;5.4
ligue;3.571428571;12.09232481;2.931034483
lime;3.571428571;8.812013348;5.733333333
lin;3.178571429;11.27474972;4.266666667
linge;5;6.600667408;5.966666667
lion;3.107142857;4.387096774;6.9
lire;5.821428571;5.492769744;4.7
lisse;4.142857143;8.033251232;4.766666667
liste;5;7.24916574;5.1
lit;5.928571429;3.778642937;6.8
litre;5.107142857;8.032142857;4.666666667
livre;5.857142857;4.44047619;6.633333333
lobe;3.821428571;10.20689655;5.533333333
loft;3.464285714;13.78690476;5.266666667
loge;3.178571429;9.314794216;4.7
loi;4.821428571;8.920238095;3.533333333
loin;5.392857143;5.642936596;3.1
long;5.678571429;5.209121246;3.766666667
look;4.785714286;10.0297619;3.566666667
lors;5.785714286;8.849833148;1.5
lorsque;6.392857143;7.955952381;1.266666667
lot;4.035714286;8.139043382;4.233333333
louange;2.785714286;10.85119048;2.206896552
louche;4.142857143;7.457174638;6.166666667
loué;4.214285714;10.48609566;2.633333333
louer;4.142857143;9.917686318;3.2
loup;3.392857143;4.675194661;6.833333333
loupe;3.785714286;6.992213571;6.266666667
lourd;4.928571429;5.494994438;4.433333333
loutre;2.642857143;8.599555061;5.833333333
lu;5.571428571;8.381535039;2.5
lueur;3.25;9.909323116;3.966666667
luge;2.857142857;5.67185762;6.633333333
lui;6.642857143;5.314794216;2.2
lune;4.285714286;4.745272525;6.733333333
lustre;3.571428571;8.920238095;6.4
lutte;4;8.779755284;3.766666667
luxe;4.071428571;9.674082314;4.266666667
lymphe;2.571428571;13.38141026;3.481481481
lynx;2.714285714;9.380422692;6.233333333
lys;2.928571429;9.848720801;5.8
mâche;4;8.631813126;6
mai;3.642857143;5.604004449;3.633333333
maigre;4.535714286;6.997775306;5.7
maille;3.107142857;9.071428571;4.633333333
main;5.75;3.640711902;6.766666667
maire;4.035714286;8.102335929;5.433333333
mais;6.714285714;5.314794216;2.066666667
maître;3.857142857;5.313681869;4.566666667
mal;5.785714286;4.174638487;2.8
mâle;3.964285714;7.923248053;5.233333333
malle;3.178571429;8.136818687;5.966666667
malt;2.678571429;13.06641124;2.518518519
manche;4.5;5.674082314;6.7
mangue;2.964285714;10.34593993;6.4
manque;5.571428571;6.492769744;2.6
marbre;2.928571429;9.663095238;5.366666667
marche;5.5;4.745272525;5.533333333
mare;3.928571429;6.392857143;5.033333333
marge;4.142857143;7.675194661;4.666666667
marque;5.035714286;8.062291435;4.133333333
mars;3.678571429;6.469047619;4.5
masque;3.714285714;5.889877642;6.566666667
masse;4;9.421579533;4.1
mat;3.214285714;9.58452381;4.482758621
mât;3.142857143;9.213095238;5.285714286
match;4.642857143;7.208008899;5.833333333
maths;5.178571429;6.496106785;5.033333333
mauve;3.428571429;7.670745273;5.3
me;6.357142857;5.136818687;1.166666667
mèche;4.428571429;7.63403782;6.533333333
membre;4.357142857;8.14047619;3.6
même;6.321428571;5.785317019;1.966666667
menthe;4.285714286;6.031145717;5.933333333
mer;3.5;4.709677419;6.9
mère;5.714285714;4.423804227;6.366666667
merle;3.071428571;8.101223582;6.133333333
mes;6.892857143;4.85650723;1.533333333
messe;3.5;7.958843159;5.7
mètre;4.607142857;7.719688543;5
mets;4.428571429;8.704115684;2.333333333
mettre;5.357142857;5.103448276;2.533333333
meuble;5.428571429;6.175750834;6.6
meule;3.964285714;10.18007663;5.166666667
meurtre;3.25;8.676307008;4.1
mi;3.928571429;7.958843159;2.8
miche;3.25;9.038095238;5
mie;3.714285714;5.9621802;5.766666667
miel;4.25;6.169076752;6.733333333
mien;5.285714286;4.709677419;1.966666667
miette;5.714285714;5.462736374;6.5
mieux;5.321428571;6.177975528;2.2
mille;5.642857143;7.171301446;4.6
mime;3.821428571;7.995238095;4.8
mince;4.214285714;7.492769744;5.466666667
mine;4.357142857;7.428253615;5
mioche;3.857142857;9.805952381;4.533333333
mis;4.5;6.209121246;1.551724138
mise;4.928571429;8.420467186;2.3
mixte;4.428571429;9.672969967;3.3
mode;4.607142857;8.63403782;4.366666667
moelle;4.214285714;10.53170189;4.4
moeurs;3.464285714;12.63515017;2.033333333
moi;5.071428571;3.775;4.266666667
moindre;5.428571429;11.06229143;1.633333333
moine;3.607142857;8.281423804;6
moins;4.535714286;5.246941046;2.2
mois;5.642857143;5.778642937;2.8
moite;4.571428571;9.622619048;4.066666667
mon;5.285714286;4.568409344;1.366666667
monde;6;6.325;5.1
monstre;4.535714286;4.675194661;5.966666667
mont;3.392857143;8.352614016;4.533333333
montre;4.428571429;5.320355951;6.433333333
mordre;4.892857143;5.210233593;4.833333333
morgue;3.785714286;11.10714286;5.24137931
morse;2.928571429;9.842857143;4.266666667
mort;3.571428571;6.562847608;5.233333333
mot;5.464285714;4.814238042;4.766666667
motte;4.821428571;9.066411239;5.24137931
mou;3.535714286;6.064516129;3.933333333
mouche;4.392857143;4.852057842;6.7
moudre;3.75;9.604004449;3.689655172
moue;3.392857143;9.397619048;3.517241379
mouette;2.821428571;6.492769744;6.566666667
moufle;3.071428571;6.254727475;6.448275862
moule;2.964285714;7.345939933;6.666666667
mousse;3.642857143;5.776190476;6.266666667
mue;2.892857143;10.48152709;2.846153846
muer;3.428571429;10.17908788;3.24137931
muet;3.821428571;7.785317019;4.266666667
mufle;2.714285714;10.625;4.724137931
mule;3.071428571;8.562847608;5.966666667
mur;4.928571429;4.716351502;6.366666667
mûr;4.285714286;7.435714286;4.6
muscle;4.857142857;7.24916574;6.066666667
muse;3.214285714;12.67630701;3.366666667
myope;3.892857143;9.706340378;4.5
mythe;3;10.67296997;3.433333333
nacre;2.714285714;11.41123883;3.966666667
nage;3.642857143;5.9243604;5.033333333
nain;3.392857143;6.919911012;6.266666667
naître;3.857142857;6.285873192;4.766666667
nappe;3.892857143;5.959955506;6.3
natte;3.5;6.066740823;6.2
ne;6.75;5.635150167;1.2
neige;3.428571429;4.459399333;6.7
nerf;4.357142857;9.7;4.655172414
net;5.035714286;8.73452381;2.566666667
neuf;5.142857143;5.585714286;5.166666667
neutre;4.321428571;10.13348165;2.1
nez;5.142857143;3.747497219;6.733333333
ni;6.178571429;6.631813126;1.1
niche;3.357142857;5.423804227;6.6
nid;3.535714286;5.457174638;6.7
nié;3.821428571;9.328571429;2.366666667
nier;3.964285714;9.707452725;2.566666667
noble;3.142857143;10.175;2.666666667
noce;3;9.668520578;4.9
noeud;4.071428571;6.148148148;6.266666667
noir;5.357142857;3.773809524;6
noix;3.678571429;6.096774194;6.6
nombre;5.428571429;5.927697442;4.866666667
non;6.892857143;3.032258065;2.633333333
nord;4.428571429;6.890989989;3.833333333
norme;4.821428571;11.96106785;2.233333333
nos;6.5;5.677419355;1.3
note;5.071428571;6.743047831;4.9
notre;6.5;5.641824249;1.7
nôtre;5.821428571;6.886904762;2
noué;3.642857143;8.568326948;3.6
nouer;3.821428571;8.06785317;3.933333333
noueux;2.607142857;11.10595238;3
nouille;5.071428571;5.402380952;6.6
nous;6.678571429;5.244716352;2.3
nu;5.214285714;5.144047619;5.233333333
nuage;4.928571429;4.459399333;6.8
nuance;4;9.295238095;2.666666667
nuée;2.678571429;11.25925926;2.592592593
nuit;5.892857143;4.139043382;6.266666667
nul;5.321428571;5.674082314;2.433333333
nuque;3.857142857;7.815350389;6.2
nymphe;2.571428571;11.8403576;3.310344828
oeil;5.214285714;4.06785317;6.433333333
oeuf;5.321428571;4.464961068;6.933333333
oeuvre;4.107142857;9.837803321;4.4
offre;5.142857143;7.923248053;2.5
ogre;3.071428571;7.95105673;5.833333333
oie;3.178571429;5.598442714;6.466666667
ombre;4.178571429;6.52836485;5.566666667
on;6.857142857;5.101223582;1.6
oncle;3.857142857;5.244716352;4.533333333
onde;3.821428571;11.06785714;3.1
ongle;4.857142857;5.243604004;6.7
onze;4.607142857;5.352614016;4.766666667
or;4.928571429;7.031145717;5.733333333
ordre;4.642857143;6.710789766;3.233333333
orge;2.714285714;10.99555061;4.714285714
orque;2.5;9.061904762;5.964285714
os;4.464285714;5.710789766;6.7
ou;6.714285714;5.179761905;1.266666667
où;6.678571429;5.709677419;1.7
ouest;4.142857143;7.502780868;3.3
oui;6.785714286;2.81868743;3.066666667
ouïe;3.607142857;8.458286986;3.517241379
pacte;3.285714286;10.8865406;3.066666667
page;5.25;5.210233593;6.333333333
paille;3.464285714;6.352614016;6.633333333
pain;6.392857143;3.959955506;6.7
pair;4.107142857;8.761174968;3.533333333
paire;4.75;7.032258065;4.633333333
paix;4.25;7.815350389;2.766666667
pale;3.785714286;8.386217949;4
pâle;4.035714286;8.416347382;4.866666667
palme;2.964285714;7.922135706;6.2
pan;3;8.598290598;3.428571429
panne;4.285714286;6.954761905;4.466666667
paon;2.75;6.921023359;6.366666667
pape;2.857142857;9.167964405;5.633333333
par;6.5;5.708565072;1.3
parc;4.071428571;5.313681869;6.233333333
part;5.321428571;6.280311457;2.833333333
pas;6.392857143;5.03003337;3.5
passe;5.857142857;6.027808676;2.333333333
patch;3.25;12.3547619;5.933333333
pâte;5.142857143;5.743047831;6.5
patte;4.642857143;4.957730812;6.5
paume;3.642857143;7.657142857;6.1
pause;5.607142857;7.169076752;3.233333333
pauvre;4.642857143;6.749721913;4.266666667
paye;4.5;8.84538376;4.033333333
peau;5.178571429;5.066740823;6.166666667
pêche;3.535714286;5.457174638;6.633333333
peigne;4.785714286;4.959955506;6.633333333
peindre;3.857142857;5.955506118;5.133333333
peine;5.071428571;7.136818687;3.233333333
peint;4;6.546428571;3.533333333
peintre;3.642857143;7.064516129;5.966666667
pelle;3.75;5.208008899;6.4
pendre;4;7.95952381;3.933333333
pente;3.857142857;7.205784205;5.533333333
perche;3.071428571;8.996662959;5.4
perdre;5.357142857;5.499443826;3.266666667
père;5.571428571;4.563959956;5.866666667
perle;3.571428571;5.733333333;6.7
perte;4.392857143;8.103448276;3.166666667
peste;3.464285714;9.638487208;3.233333333
peu;6.321428571;5.964404894;2.133333333
peuple;4.071428571;8.46051168;4.566666667
peur;5.035714286;4.780867631;4.033333333
phare;3.428571429;7.242491657;6.366666667
phase;4.392857143;13.94549499;2.5
philtre;2.535714286;10.20592593;5.56
phoque;2.714285714;6.313681869;6.6
phrase;5.857142857;5.848720801;5.4
pic;3.678571429;7.468298109;4.766666667
pie;3.107142857;6.886540601;5.9
pièce;5.642857143;5.888765295;6.466666667
pied;5.642857143;3.642936596;6.733333333
piège;4.214285714;7.102335929;5.066666667
pierre;4.392857143;4.814238042;6.733333333
piètre;2.892857143;12.45272525;2.321428571
pieuvre;2.464285714;7.24137931;6.533333333
pieux;2.714285714;11.09788654;3.931034483
pige;3.714285714;10.58571429;1.892857143
pile;4.464285714;6.639599555;6.433333333
pin;2.964285714;8.13452381;5.666666667
pince;3.75;6.313681869;6.066666667
pioche;3.142857143;7.412515964;5.9
pion;3.714285714;7.286985539;5.933333333
pipe;3.75;7.209121246;6.7
pique;4.142857143;6.250278087;4.448275862
pire;5.535714286;7.457215837;2.233333333
piste;4.107142857;7.810714286;5.166666667
pitre;3.571428571;8.102335929;4.066666667
place;5.392857143;6.141666667;4.633333333
plage;3.392857143;5.458286986;6.7
plaie;3.714285714;8.097886541;5.733333333
plaindre;4.642857143;7.928571429;3.1
plaine;3.892857143;7.959770115;5.4
plainte;4.035714286;9.418242492;3.766666667
plaire;4.714285714;8.282536151;3.433333333
plan;4.75;8.073809524;5.066666667
planche;4.035714286;6.635150167;6.633333333
plane;3.464285714;9.960714286;3.766666667
planque;3.75;9.563959956;3.966666667
plant;2.785714286;9.842911877;4.038461538
plante;4.571428571;5.886540601;6.533333333
plaque;3.892857143;7.816462736;5.366666667
plat;5.357142857;6.208008899;5.6
plâtre;3.285714286;8.709677419;5.8
plein;5.607142857;5.492769744;3.366666667
pleur;4.428571429;5.565072303;5.2
pli;3.928571429;7.689655172;5.066666667
plomb;3.392857143;9.585714286;4.333333333
plot;3.214285714;8.583333333;4.933333333
pluie;5;4.353726363;6.633333333
plume;3.642857143;4.927697442;6.8
plus;6.714285714;4.819799778;3.066666667
pneu;3.928571429;5.536151279;6.566666667
poche;5.142857143;4.996662959;6.4
poêle;4.964285714;6.369047619;6.733333333
poids;5.285714286;6.640711902;4.5
poigne;3.071428571;13.51279199;3.4
poil;4.785714286;6.142857143;6.666666667
poing;4.214285714;6.456062291;6
point;5.178571429;5.65952381;5.5
pointe;4.035714286;7.456062291;5.5
poire;3.964285714;4.708565072;6.933333333
pois;3.392857143;6.850945495;4.9
poisse;3.964285714;10.10011123;2.533333333
poivre;5.071428571;5.710789766;6.7
pôle;3.464285714;8.783092325;4.133333333
pomme;5.071428571;4.244716352;6.866666667
pompe;4.107142857;8.274749722;5.766666667
pondre;3.214285714;5.852057842;4.866666667
pont;4.178571429;6.312569522;6.433333333
pop;4.392857143;12.58452381;3.3
porc;3.857142857;5.744160178;6.666666667
porche;3.107142857;10.14285714;5.566666667
port;3.642857143;8.774193548;6.166666667
porte;6.071428571;4.246941046;6.833333333
pose;4.714285714;7.81868743;2.75862069
poste;4.607142857;7.141666667;5.066666667
pot;4.535714286;4.517857143;6.333333333
pouce;4.821428571;4.389321468;6.733333333
poudre;4.071428571;7.510714286;5.8
pouf;4.535714286;9.304783092;6.033333333
poule;3.678571429;3.994438265;6.9
poulpe;2.785714286;9.382647386;5.166666667
pour;6.464285714;5.034482759;1.733333333
pourpre;3.035714286;10.17619048;5.103448276
pousse;4.857142857;5.746384872;3.733333333
poutre;3.357142857;7.745272525;5.933333333
pré;3.75;8.14047619;5.866666667
prendre;6;5.497219132;3.6
près;5.821428571;5.925;2.766666667
presque;6.535714286;6.568409344;1.666666667
presse;5.178571429;8.729761905;4.166666667
prêt;5.428571429;6.993325918;2.233333333
prêtre;3.285714286;8.638487208;5.733333333
preuve;4.428571429;8.776418242;2.766666667
prime;3.678571429;11.32261905;2.766666667
prince;3.464285714;5.389321468;6
pris;5.678571429;5.708565072;2.066666667
prise;5.25;6.660714286;3.7
prisme;2.714285714;12.43571429;3.866666667
prix;5.571428571;5.921023359;4.1
pro;4.642857143;11.06117909;2.933333333
proche;5.107142857;7.065628476;3.466666667
proie;3.25;8.568409344;4.4
prompt;3.035714286;12.95467033;2.107142857
propre;5.571428571;5.389321468;4.133333333
prune;3.464285714;6.59621802;6.866666667
psy;5.321428571;11.84983315;4.766666667
puant;4;7.923248053;4.366666667
pub;5.964285714;6.988876529;5.766666667
puce;4.035714286;7.139043382;5.766666667
puer;4.285714286;6.032258065;3.8
puis;6.535714286;6.667487685;1.9
puisque;6.285714286;7.957730812;1.133333333
puits;3.142857143;6.706340378;5.9
pull;5.071428571;4.782758621;6.666666667
pulpe;3.785714286;8.635150167;5.034482759
punch;3.678571429;12.4297619;3.633333333
pur;4.321428571;8.820912125;2.5
purge;3.142857143;11.99489144;2.5
puzzle;3.178571429;5.13570634;6.633333333
quai;3.75;8.77753059;6.1
quand;6.785714286;5.706340378;1.733333333
quant;5;9.955952381;1.275862069
quart;4.785714286;7.753058954;3.566666667
quartz;3.035714286;10.17130145;3.7
quatre;5.25;3.996662959;4.733333333
que;7;5.711902113;1.2
quel;6.535714286;6.426028921;1.6
quelque;6.142857143;6.887652948;1.6
quête;3.607142857;9.925472747;2.8
queue;4.035714286;5.254926108;6.533333333
qui;6.642857143;7.239154616;1.733333333
quiche;4;6.601779755;6.266666667
quille;3.178571429;6.991101224;6.333333333
quinze;4.75;5.496106785;5.066666667
quitte;5.214285714;7.492769744;2.433333333
quiz;3.785714286;10.35261402;4.9
quoi;6.428571429;5.244716352;1.433333333
race;3.75;8.49054505;3.1
rafle;3;13.10851648;2.5
rage;3.571428571;8.677419355;3.8
raid;3.071428571;12.02669633;3.172413793
raide;3.928571429;8.48452381;3.966666667
raie;3.321428571;8.278086763;5.566666667
rail;3.464285714;6.889877642;6.1
râle;3.571428571;9.137931034;2.931034483
rame;3.571428571;7.285873192;5.966666667
rampe;3.714285714;8.108333333;5.866666667
ranch;2.821428571;9.706340378;5.533333333
rang;4.142857143;6.589285714;4.166666667
rap;4.178571429;11.24137931;4.666666667
râpe;3.642857143;7.953571429;5.133333333
rare;4.928571429;7.853170189;2.566666667
ras;3.857142857;9.222222222;2.071428571
rat;3.678571429;5.494994438;6.766666667
rate;3.392857143;10.92213571;4.1
règle;5.035714286;5.998887653;5.933333333
règne;3.25;9.034482759;3.266666667
rein;3.75;9.547619048;5.166666667
reine;3.214285714;5.636262514;6.366666667
rendre;5.178571429;5.892102336;2.866666667
rêne;2.75;7.826153846;5.538461538
renne;2.785714286;6.695238095;5.75862069
reste;5.678571429;6.06785317;2.3
rêve;5.214285714;5.280311457;4.866666667
rhum;3.75;10.31813126;5.896551724
rhume;4.25;6.031145717;5.266666667
riant;3.928571429;7.775862069;3.266666667
riche;4.642857143;6.52836485;4.333333333
ride;4.142857143;9.345939933;5.633333333
rien;6.642857143;4.822024472;2.566666667
rieur;3.821428571;8.531701891;4.133333333
rime;4.142857143;8.567296997;3.733333333
ring;2.928571429;10.16907675;5.551724138
rire;5.678571429;4.923248053;4.933333333
risque;4.857142857;8.034482759;2.7
rive;3.285714286;8.390433815;5.233333333
riz;5.142857143;4.783092325;6.866666667
robe;4.392857143;4.56618465;6.766666667
roc;2.928571429;9.735714286;3.866666667
roche;3.321428571;8.134593993;6.133333333
rock;4.892857143;9.245828699;5.366666667
roi;3.321428571;5.565072303;6.233333333
rôle;4.535714286;8.619047619;2.966666667
rompre;3.892857143;10.74082314;3.4
rond;4.357142857;4.253615128;5.833333333
ronde;4.178571429;5.145717464;5.233333333
rose;4.464285714;4.426028921;6.7
roue;4.142857143;5.426028921;6.466666667
roué;3.25;11.56577267;2.666666667
rouer;3.071428571;11.32619048;2.75862069
rouge;5.464285714;3.819799778;6.233333333
rouille;3.071428571;8.38487208;5.2
route;5.678571429;4.931034483;6.5
roux;3.785714286;6.958843159;5.633333333
ruche;3.071428571;7.311457175;6.466666667
rude;3.607142857;10.13570634;2.9
rue;6;5.24916574;6.133333333
ruée;3.25;10.10595238;3.066666667
ruelle;3.714285714;9.745272525;5.8
ruer;3.571428571;10.25357143;2.566666667
ruine;3.357142857;9.295238095;4.766666667
ruse;3.964285714;8.567296997;3.266666667
rustre;2.821428571;11.55;2.827586207
rythme;4.75;8.31701891;3.5
sa;6.785714286;4.816462736;1.206896552
sable;3.285714286;6.810901001;6.566666667
sabre;2.928571429;9.14559387;6.333333333
sac;6;5.063403782;6.433333333
sacre;3;11.28690476;2.866666667
sage;4.571428571;4.850945495;3.333333333
sain;3.964285714;10.06117909;2.366666667
saint;3.714285714;8.528735632;3.333333333
sale;5.214285714;4.672969967;4.366666667
salle;5.964285714;6.211904762;5.8
sang;4.571428571;5.355951057;6.6
sangle;3.178571429;9.84047619;5.166666667
sans;6.392857143;5.780867631;1.566666667
saoul;4.142857143;9.599555061;4.766666667
sauce;5;5.850945495;5.8
sauf;6.035714286;7.070077864;1.433333333
saut;4.214285714;6.101223582;4.833333333
sauve;3.785714286;7.648786718;2.142857143
scalp;2.428571429;11.21666667;4.3
sceau;2.857142857;9.689285714;4.793103448
scène;4.357142857;8.563959956;5.933333333
sceptre;2.607142857;10.18214286;4.481481481
scie;3.25;6.638487208;6.4
science;5.178571429;9.209121246;2.966666667
scier;3.285714286;7.219667944;5.266666667
sciure;2.678571429;12.17130145;5.068965517
scoop;4.285714286;12.39880952;3.566666667
score;4.678571429;7.887652948;3.833333333
scotch;4.107142857;6.243604004;6.466666667
scribe;2.321428571;11.23361823;3.36
script;2.857142857;12.59733037;3.793103448
seau;3.321428571;5.359288098;5.833333333
sec;4.857142857;6.456062291;3.933333333
sèche;4.392857143;7.315906563;3.724137931
secte;3.464285714;10.810901;4
seigle;3;9.73452381;4.233333333
sein;4.964285714;7.289285714;6.533333333
seize;4.928571429;5.531701891;4.866666667
sel;6.107142857;5.139043382;6.7
self;4.285714286;11.8339719;4.733333333
selle;3.035714286;7.50952381;6.1
sens;5.071428571;6.779755284;2.6
sept;5.214285714;4.424916574;5.433333333
serf;2.428571429;10.76121795;4.166666667
serre;3.857142857;8.850945495;4.4
ses;6.678571429;5.366666667;1.620689655
set;3.321428571;10.41490545;3.566666667
seuil;4.285714286;10.1797619;3.666666667
seul;5.678571429;5.565072303;3.666666667
sève;2.964285714;8.740823137;4.766666667
sexe;5.464285714;8.559510567;5.7
short;3.464285714;5.458286986;6.366666667
show;4.035714286;11.21904762;4.5
si;6.928571429;5.669632925;1.9
siècle;3.892857143;8.492769744;2.733333333
siège;5.071428571;6.136818687;6.4
sien;5.857142857;5.637374861;2.033333333
sieste;5.035714286;4.537263626;5.2
sigle;3.285714286;11.61904762;4.533333333
signe;5.107142857;6.811904762;4.6
simple;5.464285714;6.638487208;2.533333333
singe;3.428571429;4.709677419;6.833333333
site;5.035714286;10.21666667;4.133333333
six;5.214285714;4.424916574;5.233333333
skate;3.607142857;9.814238042;6.24137931
sketch;3.892857143;10.45606229;5.068965517
ski;3.107142857;6.887652948;6.733333333
skier;2.785714286;7.34705228;5.7
skieur;3.035714286;7.436904762;6.533333333
slave;2.678571429;12.49054505;2.357142857
slip;4.464285714;5.174638487;6.533333333
slow;3.214285714;10.27586207;5.8
snack;4.5;11.73859844;5.433333333
snob;3.642857143;11.38598443;3.433333333
sobre;3.857142857;11.67408231;3.066666667
socle;3.321428571;10.25119048;4.433333333
soeur;5.785714286;4.17352614;6.033333333
soi;5.607142857;8.955952381;2.633333333
soie;3.5;9.816462736;5.8
soif;6.142857143;4.604004449;4.233333333
soin;4.785714286;7.453837597;3.466666667
soir;6.142857143;4.852057842;4.966666667
soit;5.714285714;8.847608454;1.566666667
sol;4.785714286;5.421579533;5.9
solde;4.142857143;10.56284761;4.666666667
sombre;4.214285714;7.530589544;4.933333333
somme;4.821428571;7.066740823;3.666666667
son;6;5.953571429;3.7
sonde;3.607142857;12.27697442;4.633333333
songe;3.428571429;10.58214286;2.933333333
sort;4.785714286;6.994438265;2.366666667
sorte;5.285714286;8.21134594;2
sot;3.25;8.847619048;3.266666667
sou;4.178571429;6.06785317;4.933333333
souche;3.214285714;9.357063404;4.733333333
soude;3.25;10.91826309;3.444444444
souffle;4.285714286;6.21134594;4.733333333
soufre;3.285714286;11.67074527;2.5
souk;3.107142857;11.24249166;4.275862069
soupe;4.107142857;4.783092325;6.7
souple;4.535714286;7.597330367;4
source;4.357142857;7.922135706;5.066666667
sourd;4.285714286;6.816462736;4.2
sous;6.142857143;5.389321468;3.1
spasme;3.178571429;12.95952381;3.214285714
spectre;3.25;11.9202381;4.133333333
sphère;3.107142857;10.5272525;5.166666667
sphinx;2.642857143;9.674082314;5.9
sport;4.928571429;6.137931034;5.566666667
spot;3.678571429;11.20689655;5.2
spray;3.964285714;10.1701891;5.533333333
sprint;3.142857143;10.39880952;5.2
squash;2.857142857;12.95054945;4.793103448
stable;4.178571429;9.489432703;2.4
stade;4.392857143;7.705228031;6.666666667
stage;4.428571429;11.31701891;4.333333333
stand;3.321428571;9.545238095;5.633333333
star;4.785714286;8.496106785;5.366666667
steak;4.821428571;6.58452381;6.866666667
stock;4.071428571;10.10233593;3.733333333
stop;5.821428571;4.994438265;4.933333333
stress;5.285714286;10.70967742;3.433333333
stretch;3.071428571;13.21428571;3.551724138
strict;4.071428571;8.598442714;2.766666667
string;4.785714286;13.3192436;6.7
style;5.142857143;10.02558398;2.733333333
su;4.785714286;8.075555556;1.655172414
suant;3.107142857;9.994047619;3.5
sucre;5.75;4.35483871;6.666666667
sud;4.357142857;7.033370412;4.3
suée;3.5;9.449553001;3.7
suer;3.964285714;8.639599555;4.466666667
sueur;4.035714286;8.600667408;4.2
suite;5.607142857;6.847619048;2.966666667
suivre;5.285714286;6.352614016;2.5
sur;6.678571429;4.959955506;1.666666667
sûr;5.821428571;6.808333333;2.266666667
surf;3.035714286;9.844271413;6.1
table;6.285714286;4.069047619;6.566666667
tache;4.642857143;5.59047619;5.033333333
tâche;5.285714286;7.600667408;4.6
tacle;3.25;11.16685206;3.827586207
tact;3.428571429;11.32261905;2.133333333
tag;3.535714286;10.63626251;5.433333333
taille;4.678571429;5.846428571;3.733333333
tant;5.928571429;7.705228031;1.433333333
tante;3.928571429;5.457174638;5.633333333
tape;4.428571429;5.219132369;3.766666667
tard;5.928571429;6.351501669;2.9
tarte;4.392857143;5.244716352;6.7
tas;4.5;6.104560623;4.517241379
tasse;5.5;5.778642937;6.866666667
taupe;3.178571429;6.741935484;6.466666667
taux;4.75;12.23804227;3
taxe;3.857142857;11.59510567;3.266666667
te;6.392857143;5.351501669;1.266666667
teigne;3.428571429;10.31813126;3
teindre;3.892857143;9.438095238;4.1
teint;4.071428571;9.433333333;3.633333333
teinte;3.535714286;9.530589544;3.3
tel;6;8.709677419;2.344827586
temple;3.25;9.552380952;5.8
temps;6.178571429;5.992213571;2.733333333
tendre;4.607142857;7.848275862;3.966666667
tente;3.571428571;6.744160178;5.833333333
terme;4.75;10.41762452;2.166666667
terne;3.571428571;10.09788654;3
terre;4.75;4.77753059;6.3
tes;6.785714286;5.283648498;1.344827586
test;5;9.03003337;4.9
tête;5.25;3.923248053;6.7
texte;5.571428571;6.526140156;5.9
thé;5.25;7.285873192;6.566666667
thème;4.785714286;10.06562848;2.966666667
thermes;3.25;11.55951057;3.366666667
thèse;4.035714286;14.5452381;2.7
thon;3.964285714;6.63403782;6.366666667
thym;3.607142857;9.561735261;5.333333333
tic;4;8.139043382;4.6
tiède;4.928571429;6.563959956;3.666666667
tien;6.214285714;5.318131257;1.866666667
tiers;4.142857143;10.63292547;2.2
tige;3.642857143;7.312569522;5.666666667
tigre;3.142857143;4.994047619;6.866666667
timbre;4.285714286;6.530589544;6.666666667
tique;3.035714286;8.630952381;5.233333333
tir;4;7.35483871;4.9
titre;5.035714286;6.888765295;4.6
toast;3.607142857;9.493882091;6.266666667
toc;3.714285714;9.770238095;3.103448276
toi;6.821428571;4.176863181;2.733333333
toile;3.785714286;7.746384872;5.966666667
toit;3.928571429;5.779755284;6.033333333
tôle;3.25;9.885428254;4.666666667
tombe;4.107142857;7.291666667;6.033333333
tome;3.357142857;10.37420179;4.137931034
ton;6.357142857;5.392658509;2
tondre;3.607142857;7.58452381;5.2
tong;3.357142857;8.56618465;6.2
tonne;3.607142857;8.355951057;3.533333333
top;5.321428571;9.098998888;2.866666667
torche;3.357142857;8.167964405;6.3
tordre;3.75;7.741935484;3.666666667
tort;4.928571429;7.886540601;2.206896552
tôt;5.928571429;6.213570634;2.966666667
touche;5.392857143;5.954761905;4.4
touffe;3.928571429;8.707452725;5.033333333
tourte;3.571428571;9.139043382;5.357142857
tous;6.678571429;5.493882091;2.166666667
