ID;Word;English Trans.;POS;VAL_M;VAL_SD;VAL_N;ARO_M;ARO_SD;ARO_N;CON_M;CON_SD;CON_N;IMA_M;IMA_SD;IMA_N;AVA_M;AVA_SD;AVA_N;FAM_M;FAM_SD;FAM_N
24;acre;acre;N A;4.91;0.43;22;3.65;1.84;20;4.40;2.06;20;2.10;1.64;21;1.14;0.47;22;1.77;1.31;22
25;activar;to enable;V;5.73;1.03;22;6.36;1.65;22;3.87;2.16;23;3.04;2.23;23;3.64;2.22;22;5.15;1.42;20
26;acto;event;N;5.83;1.40;24;6.19;1.69;21;3.23;1.69;22;1.91;1.02;22;4.40;2.16;20;5.41;1.53;22
27;acuerdo;agreement;V N;6.57;1.20;23;4.00;2.22;20;3.15;1.81;20;3.32;1.78;22;4.32;1.67;22;5.75;1.55;20
28;ademán;gesture;N;5.10;0.44;21;3.50;1.82;20;3.23;1.82;22;2.85;1.76;20;1.32;0.78;22;3.32;1.89;22
29;adicción;addiction;N;2.61;1.92;23;6.85;2.08;20;3.82;1.89;22;3.86;1.49;21;4.86;1.81;22;5.48;1.47;21
30;adiós;bye-bye;I N;2.21;1.35;24;4.76;1.97;21;5.86;1.35;21;3.73;2.10;22;6.20;1.15;20;6.82;0.39;22
31;admiración;admiration;N;7.50;1.01;22;5.80;2.46;20;2.80;1.64;20;2.43;1.25;21;5.17;1.90;24;5.05;2.06;20
32;admirado;admired;V;6.95;1.10;20;6.68;1.89;22;3.74;1.60;23;4.17;1.99;23;4.86;2.19;22;5.24;1.51;21
33;adolescente;teenager;A;5.91;1.90;23;5.64;1.92;22;6.00;1.14;21;5.62;1.07;21;6.32;0.99;22;6.73;0.88;22
34;adopción;adoption;N;5.25;1.98;24;5.48;2.48;21;4.60;1.54;20;3.20;1.82;20;5.70;1.75;20;5.64;1.62;22
35;adoración;worship;N;7.00;1.86;20;3.14;2.08;22;2.23;1.27;22;3.36;1.73;22;4.61;2.19;23;4.05;1.86;21
36;adulterio;adultery;N;3.45;1.85;20;7.59;1.33;22;5.27;1.78;22;4.00;1.90;21;3.61;2.62;23;3.95;1.86;22
37;adversario;adversary;N;4.00;1.35;23;6.41;1.71;22;3.85;1.69;20;3.38;1.50;21;4.68;2.12;22;5.10;2.07;21
38;aeropuerto;airport;N;6.38;2.10;24;5.29;2.05;21;6.55;0.76;20;6.65;0.81;20;6.50;0.83;20;6.18;1.05;22
39;afortunado;lucky;A;7.45;1.19;20;5.25;2.29;20;4.40;1.54;20;3.50;1.64;20;4.85;2.06;20;5.60;1.35;20
40;agente;agent;A N;4.57;1.40;21;5.05;1.59;22;3.80;1.36;20;5.55;1.50;20;5.15;2.21;20;5.43;1.85;23
41;agobiado;overwhelmed;A V;2.24;1.14;21;7.10;1.51;21;4.78;1.73;23;3.96;2.01;23;5.73;1.52;22;6.60;0.68;20
42;agresividad;aggressiveness;N;1.77;1.15;22;7.15;1.46;20;4.78;1.78;23;4.61;2.06;23;5.04;1.71;24;5.90;1.51;21
43;agresivo;aggressive;A;2.00;1.22;21;7.62;1.12;21;5.09;1.65;23;4.74;2.07;23;5.27;1.91;22;5.65;1.39;20
44;agricultor;farmer;N;5.57;1.26;28;3.87;2.01;23;5.64;1.18;22;6.05;1.16;21;5.05;1.77;21;6.00;1.62;23
45;aguanieve;sleet;N;5.71;1.38;21;3.33;1.96;21;6.30;1.03;20;5.19;1.75;21;3.73;1.96;22;4.70;2.20;20
46;aguardiente;brandy;N;4.73;1.72;22;5.25;2.00;20;6.41;0.80;22;5.91;1.23;22;4.33;2.10;24;4.90;2.02;21
47;agudo;sharp;A;4.70;1.38;20;5.14;1.98;22;3.50;1.77;22;1.82;1.56;22;2.85;1.76;20;5.19;1.66;21
48;aguijón;sting;N;2.45;1.50;22;7.00;1.86;20;5.82;1.33;22;5.75;1.52;20;3.63;2.62;24;3.67;2.06;21
49;águila;eagle;N;5.40;1.19;20;4.90;1.94;20;6.80;0.41;20;6.85;0.67;20;5.00;2.29;20;5.67;1.20;21
50;aguja;needle;N;4.09;1.59;23;5.75;1.89;20;5.77;1.57;22;6.86;0.35;22;6.14;1.21;22;6.00;1.26;21
51;ahogarse;to drown;V;1.75;1.16;20;7.90;1.18;21;5.17;1.97;23;5.70;1.69;23;5.41;1.84;22;4.90;1.22;21
52;aislamiento;isolation;N;1.82;0.96;22;4.50;2.48;20;3.00;1.62;20;3.13;1.58;23;3.79;2.17;24;4.55;1.96;20
53;ajedrez;chess;N;4.86;1.46;21;3.27;1.61;22;6.18;1.37;22;6.91;0.29;22;5.40;1.47;20;5.20;1.82;20
54;albergue;hostel;V N;5.96;2.12;24;5.24;2.36;21;6.05;0.72;22;5.32;1.39;22;6.00;1.38;20;5.00;1.62;20
55;alcaldesa;mayor;N;4.38;1.65;26;5.00;1.86;20;6.38;0.74;21;3.60;1.98;20;4.18;1.94;22;5.64;1.62;22
56;alfiler;pin;N;4.27;1.48;26;4.80;1.99;20;6.43;0.87;21;6.90;0.31;20;4.32;2.25;22;5.00;1.75;22
57;alianza;alliance;N;6.83;1.44;23;4.65;2.64;20;4.36;1.97;22;6.05;1.73;22;4.55;2.20;22;4.75;2.07;20
58;aliento;breath;V N;4.65;1.42;20;3.52;2.04;21;4.81;1.60;21;2.50;1.85;22;5.45;1.67;20;5.67;1.77;21
59;alivio;relief;V N;7.59;1.01;22;1.60;1.14;20;2.95;1.29;22;2.85;1.53;20;5.27;1.88;22;5.55;1.34;22
60;alma;soul;N A;6.64;1.65;22;3.45;2.39;20;2.38;1.99;21;2.90;1.80;20;4.32;1.76;22;5.70;1.75;20
61;altercado;altercation;N V;2.50;1.50;20;7.09;1.34;22;2.90;1.61;21;3.45;1.82;20;3.30;2.22;23;4.39;1.97;23
62;aluminio;aluminum;N;4.32;1.25;22;3.40;1.96;20;5.29;1.85;21;5.14;1.88;22;4.21;2.26;24;4.90;1.59;20
63;alumno;student;N;5.42;1.27;26;4.65;1.46;20;5.38;1.60;21;5.95;1.15;20;6.55;0.86;22;6.76;0.62;21
64;amabilidad;kindness;N;7.77;0.97;22;3.75;2.67;20;4.05;2.04;20;2.80;1.64;20;5.38;1.58;24;6.50;1.00;20
65;amado;loved;N V;8.23;0.87;22;5.59;2.63;22;3.80;1.58;20;4.00;1.75;20;5.30;1.75;20;5.23;1.95;22
66;amante;lover;A N;4.95;2.44;21;6.09;2.31;22;4.76;1.37;21;4.10;2.02;20;4.65;1.82;23;5.95;1.40;21
67;amargura;bitterness;N;1.96;0.82;23;7.30;1.38;20;2.14;0.83;22;2.52;1.41;23;3.32;1.96;22;4.38;1.88;21
68;ambición;ambition;N;4.50;2.15;24;5.76;1.73;21;2.91;1.90;22;2.00;1.41;23;3.50;2.01;20;5.45;1.39;20
69;ambiente;atmosphere;V A N;5.95;1.09;22;2.65;1.76;20;2.71;1.42;21;2.77;1.82;22;4.91;2.14;22;5.62;1.28;21
70;ambulancia;ambulance;N;2.65;1.04;20;6.82;1.14;22;6.80;0.52;20;6.85;0.37;20;6.35;1.27;20;6.32;0.95;22
71;ametralladora;machine gun;A N;2.60;1.79;20;7.30;1.38;20;6.55;1.30;22;6.30;1.08;20;4.39;2.39;23;4.57;1.96;21
72;amiga;friend;V N A ;8.40;0.94;20;3.05;2.24;20;4.10;1.81;21;5.68;1.13;22;6.64;1.05;22;6.71;0.90;21
73;ampliación;extension;N;6.39;1.41;23;3.95;1.86;22;2.70;1.69;20;2.30;1.11;23;3.68;2.12;22;5.05;1.56;22
74;amplitud;amplitude;N;6.42;1.25;24;3.86;2.06;21;3.25;2.12;20;2.23;1.19;22;3.55;2.01;20;5.55;1.61;20
75;análisis;analysis;N;4.14;1.88;22;6.15;2.32;20;2.85;2.08;20;3.25;1.68;20;4.82;1.99;22;6.45;1.19;20
76;analista;analyst;N;5.07;1.41;28;4.74;2.20;23;3.27;1.86;22;2.29;1.52;21;2.24;1.61;21;4.27;1.93;22
77;analogía;analogy;N;5.00;0.31;22;3.75;1.77;20;2.41;1.68;22;1.90;1.14;21;1.64;1.33;22;3.75;1.94;20
78;anfitrión;host;N;6.79;1.41;24;5.95;2.04;21;5.55;1.30;22;4.19;1.57;21;4.20;2.42;20;4.71;1.23;21
79;angustia;distress;N V;1.86;0.83;22;7.60;2.06;20;3.27;1.45;22;2.59;1.33;22;4.79;1.89;24;5.26;1.96;23
80;anillo;ring;N V;6.55;1.18;22;4.85;2.18;20;6.14;1.31;21;6.85;0.67;20;6.05;1.85;20;6.38;1.36;21
81;ánimo;mood;N I;7.14;1.20;21;5.59;2.06;22;2.73;1.45;22;1.91;1.44;22;4.18;2.08;22;6.00;1.78;23
82;anorak;anorak;N;4.70;1.78;20;4.30;1.72;20;5.90;1.14;21;6.57;0.81;21;5.09;2.02;22;5.10;1.89;21
83;antecedente;antecedent;A N;4.10;1.09;21;5.55;1.32;20;3.61;1.80;23;2.26;1.54;23;3.05;1.65;22;4.50;1.74;22
84;anticuario;antique;N;4.18;1.14;22;3.00;1.86;20;5.77;1.41;22;5.09;1.50;23;3.50;2.04;24;3.20;1.88;20
85;antorcha;torch;N;5.30;1.17;20;3.95;2.17;22;6.70;0.57;20;6.70;0.57;20;5.17;2.33;23;4.48;1.57;21
86;antropólogo;anthropologist;N;4.95;0.65;22;3.75;1.83;20;6.18;1.53;22;4.30;1.89;23;2.17;1.55;24;3.41;1.79;22
87;añoranza;yearning;N;2.35;1.30;23;4.95;2.52;22;3.00;1.92;21;1.82;1.40;22;5.14;2.14;22;4.18;1.65;22
88;aparato;apparatus;V N;4.68;0.78;22;3.85;1.76;20;2.25;1.25;20;4.00;2.37;22;4.36;2.15;22;6.05;0.94;20
89;apariencia;appearance;N;4.55;0.94;20;4.73;1.80;22;3.27;1.72;22;2.18;1.56;22;4.36;1.99;22;5.10;1.92;21
90;apartamento;apartment;N;6.32;1.49;22;3.65;2.03;20;6.18;1.14;22;6.55;0.60;22;6.23;1.27;22;6.05;1.09;22
91;aperitivo;aperitif;A N;6.86;1.21;22;5.60;2.44;20;5.09;1.66;22;5.59;1.37;22;5.71;1.52;24;6.27;0.94;22
92;aplauso;applause;N;7.57;1.27;23;5.91;2.58;22;5.40;1.60;20;6.50;1.06;22;6.27;0.88;22;6.30;1.56;20
93;aprecio;appreciation;V N;7.91;1.02;22;3.65;2.66;20;3.10;1.77;20;3.33;2.27;21;5.77;1.38;22;6.05;1.21;22
94;aptitud;aptitude;N;7.40;1.14;20;5.18;1.76;22;2.75;1.71;20;1.68;1.25;22;3.83;2.15;23;5.09;1.66;22
95;apuros;trouble;N;2.70;1.17;20;6.23;2.39;22;3.91;1.47;23;2.57;1.75;23;3.82;1.94;22;4.90;1.81;21
96;araña;spider;N V;3.40;1.27;20;7.27;1.03;22;6.55;0.76;20;6.85;0.37;20;6.10;1.37;20;5.50;1.64;20
97;árbitro;referee;A N;5.00;0.73;20;5.80;2.14;20;5.14;1.20;21;6.65;0.49;23;6.26;1.10;23;5.86;1.52;22
98;argumento;argument;V N;5.59;0.85;22;4.25;2.00;20;3.05;1.66;21;2.33;1.24;21;4.91;1.95;22;5.78;1.68;23
99;armario;cabinet;N;4.95;0.51;20;4.00;1.93;22;6.50;1.10;20;6.90;0.30;21;6.18;1.50;22;7.00;0.00;23
100;armonía;harmony;N;7.87;0.97;23;3.20;2.59;20;2.45;1.63;22;2.09;1.23;22;4.09;2.22;22;4.83;2.04;23
101;arrebatar;to snatch;V;2.64;1.43;22;7.65;1.27;20;3.67;2.06;21;2.27;1.39;22;3.45;2.13;22;3.76;1.92;21
102;arroyo;stream;V N;4.74;1.66;23;4.05;2.50;22;5.86;1.28;21;5.73;1.55;22;3.77;2.20;22;4.32;2.06;22
103;arroz;rice;N;5.14;0.35;22;3.77;1.48;22;6.41;0.91;22;6.85;0.67;20;6.09;1.54;22;6.91;0.29;23
104;artefacto;artifact;N;3.86;1.39;22;6.20;2.26;20;2.86;1.86;22;2.73;1.75;22;2.68;1.86;22;3.81;2.02;21
105;artesana;artisan;A N;6.07;1.41;28;3.65;2.04;23;4.50;1.68;22;3.76;2.07;21;3.76;2.00;21;4.82;1.92;22
106;artículo;article;N;4.90;0.94;21;3.86;1.93;21;2.73;1.64;22;4.85;2.03;20;5.18;1.97;22;6.30;0.66;20
107;asalariada;wage;A;5.89;1.71;28;4.91;1.95;23;3.95;2.13;22;2.48;1.94;21;2.38;1.96;21;4.20;2.12;20
108;ascender;to ascend;V;6.77;1.66;22;5.80;2.48;20;5.00;1.10;21;3.45;1.97;22;4.33;1.97;24;5.48;1.68;23
109;asesina;killer;V A;1.45;0.94;20;7.82;1.62;22;6.39;0.78;23;5.61;1.44;23;2.71;1.85;21;5.41;1.56;22
110;asesinar;to murder;V;1.19;0.40;21;7.95;1.43;22;5.96;1.66;23;5.30;2.05;23;4.91;2.39;22;5.57;1.97;23
111;asesinato;murder;N;1.35;0.88;20;8.14;1.25;22;5.52;1.50;21;5.87;1.18;23;4.96;2.51;23;5.76;1.58;21
112;asesino;murderer;V A;1.62;1.16;21;7.43;1.66;21;4.75;1.71;20;5.05;1.40;21;5.18;1.76;22;5.91;1.70;23
113;asesor;advisor;N;5.71;1.33;28;4.22;1.62;23;4.09;1.80;22;2.81;1.78;21;2.81;1.72;21;4.85;1.31;20
114;asesora;advises;N V;5.38;1.24;26;4.85;1.81;20;4.67;1.74;21;2.45;1.79;20;3.50;2.13;22;4.91;1.88;23
115;asfalto;asphalt;V N;4.60;0.82;20;3.14;2.14;22;6.40;0.99;20;6.27;1.20;22;4.87;2.47;23;5.75;1.41;20
116;asilo;asylum;V N;3.39;1.42;28;4.43;2.15;23;5.55;1.57;22;5.57;1.36;21;4.71;1.90;21;4.50;1.37;22
117;asistenta;housekeeper;N;4.73;1.40;26;3.75;1.86;20;4.71;1.74;21;4.30;2.15;20;4.23;1.88;22;4.90;1.97;21
118;asqueroso;gross;A;3.00;1.34;21;6.35;1.69;20;4.50;1.67;20;4.60;1.64;20;4.85;1.84;20;5.90;1.67;21
119;asunto;issue;V N;5.13;0.76;23;4.05;1.79;22;1.67;1.11;21;1.59;0.96;22;3.36;2.17;22;6.09;1.31;22
120;asustado;scared;A V;2.70;1.13;20;6.10;2.32;21;5.43;1.47;23;5.04;1.80;23;5.39;1.47;23;5.83;1.67;23
121;ataque;attack;V N;3.04;1.92;24;7.19;1.89;21;3.41;1.71;22;4.05;1.79;20;4.50;2.01;20;5.82;1.44;22
122;ataúd;coffin;N;1.91;1.34;22;6.71;1.98;21;6.65;0.59;20;6.60;0.94;20;5.60;1.64;20;4.50;2.21;20
123;atentado;attack;A N V;1.68;0.95;22;8.20;1.24;20;4.86;1.68;21;4.59;1.62;22;5.71;1.92;24;5.50;1.26;22
124;aterrorizado;terrified;V;2.32;1.25;22;7.19;1.89;21;5.26;1.66;23;4.91;1.88;23;5.41;1.89;22;4.87;1.96;23
125;átomo;atom;N;4.95;1.09;22;4.09;1.77;22;4.95;2.26;20;2.68;1.94;22;2.55;2.11;22;5.18;1.40;22
126;atracción;attraction;N;7.18;1.18;22;7.60;1.85;20;2.77;1.51;22;3.73;2.10;22;5.79;1.38;24;6.40;0.88;20
127;atraco;robbery;V N;1.45;0.89;20;7.50;1.63;22;5.65;1.56;23;5.13;1.87;23;5.30;1.99;23;5.35;1.53;20
128;atraer;to attract;V;7.05;1.33;22;6.75;2.43;20;3.19;1.86;21;3.90;2.12;21;4.64;2.17;22;5.82;1.76;22
129;atrevido;bold;V A;6.27;0.94;22;6.09;1.48;22;5.17;1.37;23;3.57;1.97;23;5.77;1.54;22;5.82;1.56;22
130;atrocidad;atrocity;N;2.15;0.99;20;6.33;2.33;21;3.83;1.64;23;2.35;1.34;23;2.95;2.44;22;3.59;1.82;22
131;aumento;increase;V N;6.26;1.54;23;5.18;2.20;22;3.55;1.47;22;3.10;1.74;20;4.77;2.20;22;5.20;1.70;20
132;ausencia;absence;N;2.33;1.20;21;4.59;2.15;22;2.95;1.79;20;2.45;1.47;20;4.80;1.88;20;5.32;1.46;22
133;autobús;bus;N;4.71;1.10;21;4.91;1.57;22;6.77;0.43;22;6.80;0.70;20;6.27;1.35;22;6.40;0.88;20
134;autoridad;authority;N;5.00;1.75;20;6.86;1.32;22;4.32;1.64;22;4.29;1.82;21;5.17;1.67;23;5.35;1.99;23
135;auxilio;help;V N;3.05;1.99;22;7.90;1.92;20;3.65;2.11;20;3.36;1.87;22;4.91;2.07;22;4.67;1.28;21
136;avance;advance;N V;7.15;1.09;20;4.82;1.94;22;2.73;1.24;22;2.50;1.50;22;3.78;2.39;23;5.52;1.25;21
137;avión;plane;N;5.14;1.58;22;6.50;1.54;22;6.70;0.57;20;6.85;0.49;20;6.40;1.05;20;6.50;0.86;22
138;avispa;wasp;N;3.05;1.23;20;6.60;1.50;20;6.57;1.20;23;7.00;0.00;23;5.82;1.68;22;5.59;1.82;22
139;ayuda;help;N V;6.58;2.02;24;5.86;2.50;21;3.20;2.07;20;3.10;1.45;20;4.90;2.00;20;6.60;0.88;20
140;ayudar;to help;V;7.68;1.29;22;4.90;2.45;20;2.95;1.93;20;3.20;1.54;20;5.71;1.60;24;6.55;0.76;20
141;ayuntamiento;city hall;N;4.83;1.53;23;3.18;1.84;22;6.05;1.00;22;6.05;1.36;21;6.18;1.30;22;5.57;2.06;21
142;azafata;stewardess;N;5.75;1.25;20;5.40;1.31;20;4.71;1.49;21;6.74;0.54;23;5.77;1.51;22;5.27;1.64;22
143;azar;random;N;5.15;1.09;20;4.55;2.18;22;2.50;1.87;22;2.19;1.17;21;4.45;2.20;22;5.90;1.37;20
144;azulejo;tile;N;5.10;0.55;20;3.76;1.87;21;5.52;2.02;23;5.91;1.73;23;2.91;2.18;22;4.95;2.11;21
145;bacteria;bacterium;N;3.00;1.41;24;5.19;1.78;21;5.05;1.62;22;4.09;1.80;22;3.90;2.10;20;4.95;1.80;21
146;bailarín;dancer;A N;6.55;1.36;20;5.45;2.04;22;6.45;0.80;22;6.29;0.78;21;5.23;2.14;22;5.62;1.88;21
147;bailarina;dancer;A N;6.61;0.96;28;4.26;2.34;23;5.36;1.36;22;6.48;0.68;21;5.95;1.36;21;6.00;1.61;21
148;balanza;balance;N;5.25;1.16;20;3.86;1.75;22;6.05;1.50;21;6.82;0.50;22;5.95;1.73;22;5.10;1.71;20
149;balcón;balcony;N;5.57;1.08;23;3.50;2.35;22;6.25;1.07;20;6.81;0.40;21;6.05;1.56;22;6.55;0.89;20
150;balneario;spa;N;7.33;1.52;24;3.67;3.55;21;6.27;0.77;22;6.55;0.80;22;6.55;0.94;20;5.41;1.59;22
151;baloncesto;basketball;N;6.09;1.44;22;4.85;2.91;20;6.20;1.28;20;6.65;0.67;20;5.73;1.86;22;5.25;2.22;20
152;banco;bank;N;4.64;1.26;22;5.00;1.78;20;5.05;1.63;21;6.73;0.55;22;6.25;0.91;20;6.67;0.48;21
153;banda;band;N;5.45;1.82;22;4.65;1.60;20;3.90;1.81;21;5.25;1.62;20;4.70;2.27;20;5.59;1.40;22
154;bandeja;tray;N;4.81;0.75;26;3.85;1.60;20;5.67;1.20;21;6.75;0.44;20;5.00;1.90;22;6.65;0.65;23
155;banquete;banquet;N;7.29;1.46;24;4.90;1.79;21;5.10;1.67;21;6.10;1.07;20;5.95;1.54;20;5.40;1.67;20
156;bañador;swimsuit;N;6.18;1.31;28;3.52;2.00;23;5.55;1.71;22;7.00;0.00;21;5.90;1.61;21;6.24;0.94;21
157;baño;bathroom;V N;6.25;1.29;20;3.64;1.87;22;5.59;1.50;22;6.68;0.57;22;6.65;0.67;20;6.86;0.36;21
158;baranda;railing;N;5.00;0.56;20;3.55;1.77;22;5.00;2.17;21;5.09;2.29;22;3.83;2.48;23;3.65;2.25;20
159;barbaridad;barbarity;N;3.48;1.90;23;6.73;1.78;22;2.45;1.47;20;2.09;1.44;22;4.05;2.24;22;4.71;2.03;21
160;barco;boat;N;5.86;1.61;22;3.77;1.95;22;6.18;1.18;22;6.86;0.35;22;6.25;0.91;20;6.14;1.39;21
161;barra;bar;N V;4.91;0.68;22;4.45;1.71;22;4.36;1.94;22;6.19;0.98;21;5.60;2.16;20;5.90;1.62;20
162;barranco;ravine;N;3.82;1.47;22;6.05;2.72;20;6.32;1.17;22;6.75;0.44;20;5.27;2.21;22;5.38;1.75;21
163;bastón;cane;N;4.60;0.99;20;4.14;1.64;22;6.67;0.58;21;6.87;0.46;23;5.50;1.90;22;5.55;1.65;22
164;bata;coat;N V;5.35;0.88;23;3.75;1.89;20;6.10;1.17;20;6.38;1.47;21;6.32;1.32;22;5.68;1.64;22
165;bautizo;christening;V N;5.75;2.80;24;4.48;2.38;21;5.91;1.27;22;5.23;1.72;22;6.45;1.00;20;5.05;1.47;21
166;bendición;blessing;N;6.35;1.57;20;3.68;2.21;22;3.00;1.77;22;2.00;1.57;22;4.00;2.45;23;4.52;1.12;21
167;beneficio;benefit;V N;7.26;1.57;23;5.50;2.44;22;2.65;1.39;20;2.91;2.02;22;3.91;1.90;22;5.10;2.07;20
168;beso;kiss;V N;8.14;1.11;21;5.86;2.94;21;5.75;1.41;20;6.71;0.56;21;6.55;0.60;22;6.67;0.66;21
169;bestia;beast;N A;3.45;1.64;20;6.25;2.00;20;4.18;1.62;22;5.52;1.72;21;4.75;2.02;20;5.33;1.62;21
170;bienestar;welfare;N;8.30;0.93;23;3.75;2.94;20;2.50;1.76;20;3.05;1.50;20;4.55;2.09;22;5.85;1.57;20
171;bikini;bikini;N;6.81;1.77;26;5.00;2.08;20;4.76;1.76;21;6.90;0.31;20;6.50;0.60;22;6.73;0.55;22
172;billetera;wallet;N;5.35;0.94;26;4.75;2.02;20;6.19;0.98;21;6.60;0.68;20;4.91;2.09;22;5.24;1.89;21
173;blusa;blouse;N;5.35;0.98;23;4.35;1.98;20;6.50;0.74;22;6.67;1.11;21;6.05;1.43;22;5.50;1.90;22
174;bodega;winery;N;5.70;1.18;23;4.05;2.19;20;5.71;1.71;21;6.14;1.25;22;5.36;1.79;22;4.76;1.81;21
175;bofetada;slap;N;2.86;1.17;22;6.95;1.40;21;6.50;0.61;20;6.10;1.02;20;6.00;1.38;20;6.09;1.31;23
176;bolsa;bag;N;5.00;0.31;22;3.55;1.87;22;5.38;1.75;21;6.73;0.77;22;6.25;1.86;20;6.55;0.83;20
177;bolsillo;pocket;N;5.50;0.80;22;4.25;1.94;20;6.14;1.42;22;6.75;0.44;20;5.64;1.53;22;6.62;1.12;21
178;bolso;bag;N;5.35;1.32;26;3.80;1.77;20;5.48;1.54;21;6.85;0.37;20;6.09;1.19;22;6.70;0.73;20
179;bombardeo;bombardment;V N;2.09;1.80;22;7.50;2.04;20;4.86;1.49;22;6.05;1.28;20;4.41;2.24;22;4.57;1.54;21
180;bombero;firefighter;N;5.18;1.82;22;5.14;2.29;21;6.75;0.44;20;6.80;0.41;20;6.45;0.83;20;5.65;1.60;20
181;bombilla;light bulb;N;4.96;0.21;23;3.50;2.40;20;6.65;0.49;20;6.91;0.29;22;6.09;1.57;22;6.48;0.81;21
182;bondad;goodness;N;7.23;1.34;22;3.70;3.10;20;3.30;1.98;20;2.05;1.17;22;4.88;1.62;24;6.35;1.23;20
183;borde;edge;V N A ;3.86;1.08;22;4.68;2.08;22;3.25;1.74;20;4.91;1.77;22;5.05;1.82;20;6.20;0.95;20
184;borracho;drunk;A;3.30;1.03;20;6.40;1.47;20;6.09;1.08;23;6.26;1.36;23;6.64;0.58;22;6.68;0.57;22
185;bota;boot;V N A ;5.00;0.46;20;4.00;2.00;21;5.41;1.74;22;6.91;0.43;22;5.85;1.79;20;6.15;1.50;20
186;bote;pot;V N;4.71;0.90;21;3.95;1.73;22;4.77;2.02;22;6.48;1.16;23;5.35;2.08;20;5.82;1.44;22
187;botella;bottle;N;5.65;0.83;23;4.05;1.90;20;6.09;1.44;22;7.00;0.00;22;6.45;1.06;22;6.75;0.55;20
188;botín;swag;N;5.85;1.53;20;5.23;2.14;22;4.95;1.81;22;5.50;1.99;22;3.90;2.25;20;5.00;1.88;22
189;brazo;arm;N;4.80;0.52;20;3.40;1.88;20;6.36;0.79;22;7.00;0.00;23;6.32;1.39;22;6.86;0.35;22
